"application","Potree($)","Potree-storage($)","Potree-computing($)","Total costs($)"
"application total","979.2018170127","893.4905421536","252.5518208545","2125.2441800208"
"2025-01-01","244.8676588746","","","244.8676588746"
"2025-02-01","244.2583242616","","","244.2583242616"
"2025-03-01","245.0086704523","","","245.0086704523"
"2025-04-01","245.0671634242","0.0010421855","0.5578113853","245.626016995"
"2025-05-01","","243.2220861242","69.0117762675","312.2338623917"
"2025-06-01","","242.8263521398","66.8982884375","309.7246405773"
"2025-07-01","","241.9647776272","69.1383275081","311.1031051353"
"2025-08-01","","165.4762840769","46.9456172561","212.421901333"
