component_raw,cost,service,component,source,date
Total costs,370.0520408364,Dataverse,total,dataverse_costs,2025-03-01
Total costs,392.0078344425,Dataverse,total,dataverse_costs,2025-04-01
Total costs,149.7436470808,Dataverse,total,dataverse_costs,2025-05-01
Total costs,221.5135759471,Dataverse,total,dataverse_costs,2025-06-01
Total costs,230.2328646105,Dataverse,total,dataverse_costs,2025-07-01
Total costs,155.6298040937,Dataverse,total,dataverse_costs,2025-08-01
Potree-computing,0.5578113853,Potree,compute,potree_costs,2025-04-01
Potree-computing,0.557811385,Potree,compute,rotated_costs,2025-04-01
Potree-computing,69.0117762675,Potree,compute,potree_costs,2025-05-01
Potree-computing,69.01177627,Potree,compute,rotated_costs,2025-05-01
Potree-computing,66.8982884375,Potree,compute,potree_costs,2025-06-01
Potree-computing,66.89828844,Potree,compute,rotated_costs,2025-06-01
Potree-computing,69.1383275081,Potree,compute,potree_costs,2025-07-01
Potree-computing,69.13832751,Potree,compute,rotated_costs,2025-07-01
Potree-computing,46.9456172561,Potree,compute,potree_costs,2025-08-01
Potree-computing,46.94561726,Potree,compute,rotated_costs,2025-08-01
Potree-storage,0.0010421855,Potree,storage,potree_costs,2025-04-01
Potree-storage,0.001042186,Potree,storage,rotated_costs,2025-04-01
Potree-storage,243.2220861242,Potree,storage,potree_costs,2025-05-01
Potree-storage,243.2220861,Potree,storage,rotated_costs,2025-05-01
Potree-storage,242.8263521398,Potree,storage,potree_costs,2025-06-01
Potree-storage,242.8263521,Potree,storage,rotated_costs,2025-06-01
Potree-storage,241.9647776272,Potree,storage,potree_costs,2025-07-01
Potree-storage,241.9647776,Potree,storage,rotated_costs,2025-07-01
Potree-storage,165.4762840769,Potree,storage,potree_costs,2025-08-01
Potree-storage,165.4762841,Potree,storage,rotated_costs,2025-08-01
Potree,244.8676588746,Potree,total,potree_costs,2025-01-01
Total costs,244.8676588746,Potree,total,potree_costs,2025-01-01
Potree,244.8676589,Potree,total,rotated_costs,2025-01-01
potree,69.10549594,Potree,total,rotated_costs,2025-01-01
Potree,244.2583242616,Potree,total,potree_costs,2025-02-01
Total costs,244.2583242616,Potree,total,potree_costs,2025-02-01
Potree,244.2583243,Potree,total,rotated_costs,2025-02-01
potree,62.43775675,Potree,total,rotated_costs,2025-02-01
Potree,245.0086704523,Potree,total,potree_costs,2025-03-01
Total costs,245.0086704523,Potree,total,potree_costs,2025-03-01
Potree,245.0086705,Potree,total,rotated_costs,2025-03-01
potree,69.12235022,Potree,total,rotated_costs,2025-03-01
Potree,245.0671634242,Potree,total,potree_costs,2025-04-01
Total costs,245.626016995,Potree,total,potree_costs,2025-04-01
Potree,245.0671634,Potree,total,rotated_costs,2025-04-01
potree,66.33416946,Potree,total,rotated_costs,2025-04-01
Total costs,312.2338623917,Potree,total,potree_costs,2025-05-01
Total costs,309.7246405773,Potree,total,potree_costs,2025-06-01
Total costs,311.1031051353,Potree,total,potree_costs,2025-07-01
Total costs,212.421901333,Potree,total,potree_costs,2025-08-01
No tag key: application,261.0165634,Unknown,other,rotated_costs,2025-01-01
LARIAC,0.660336972,Unknown,other,rotated_costs,2025-01-01
LARIAC backup,0.074205541,Unknown,other,rotated_costs,2025-01-01
SSDA,0.017602698,Unknown,other,rotated_costs,2025-01-01
billing-info,0.015699281,Unknown,other,rotated_costs,2025-01-01
No tag key: application,251.7848505,Unknown,other,rotated_costs,2025-02-01
LARIAC,0.55964457,Unknown,other,rotated_costs,2025-02-01
LARIAC backup,0.074095926,Unknown,other,rotated_costs,2025-02-01
SSDA,0.013503045,Unknown,other,rotated_costs,2025-02-01
billing-info,0.016160891,Unknown,other,rotated_costs,2025-02-01
No tag key: application,251.7448851,Unknown,other,rotated_costs,2025-03-01
LARIAC,0.548121861,Unknown,other,rotated_costs,2025-03-01
LARIAC backup,0.074195919,Unknown,other,rotated_costs,2025-03-01
SSDA,0.013482803,Unknown,other,rotated_costs,2025-03-01
billing-info,0.017020944,Unknown,other,rotated_costs,2025-03-01
No tag key: application,219.1995185,Unknown,other,rotated_costs,2025-04-01
LARIAC,0.547062054,Unknown,other,rotated_costs,2025-04-01
LARIAC backup,0.074426228,Unknown,other,rotated_costs,2025-04-01
SSDA,0.020344031,Unknown,other,rotated_costs,2025-04-01
billing-info,0.029160683,Unknown,other,rotated_costs,2025-04-01
No tag key: application,-55.01819713,Unknown,other,rotated_costs,2025-05-01
LARIAC,0.548861791,Unknown,other,rotated_costs,2025-05-01
LARIAC backup,0.073761146,Unknown,other,rotated_costs,2025-05-01
SSDA,0.040757722,Unknown,other,rotated_costs,2025-05-01
billing-info,0.018419526,Unknown,other,rotated_costs,2025-05-01
No tag key: application,-62.6414418,Unknown,other,rotated_costs,2025-06-01
LARIAC,0.564980695,Unknown,other,rotated_costs,2025-06-01
LARIAC backup,0.073528141,Unknown,other,rotated_costs,2025-06-01
SSDA,0.033048345,Unknown,other,rotated_costs,2025-06-01
billing-info,0.019102437,Unknown,other,rotated_costs,2025-06-01
No tag key: application,-90.74951221,Unknown,other,rotated_costs,2025-07-01
