"application","Production-Dataverse($)","Potree($)","Dataverse-production($)","Dataverse-Production($)","Potree-storage($)","No tag key: application($)","Test-Dataverse($)","Dataverse-Test($)","potree($)","Potree-computing($)","Test-Dataverse-Rocky9($)","Production-Processing($)","Dataverse Production  ($)","Dataverse-Test-storage($)","LARIAC($)","LARIAC test($)","LARIAC backup($)","SSDA($)","billing-info($)","test-3d($)","Total costs($)"
"application total","1063.4177453687","979.2018170127","926.8623677422","924.3867828555","893.4905421536","782.4195840201","330.4328386267","269.4534541452","266.9997723623","252.5518208545","252.4785860452","125.9488854264","95.513266759","10.6928026941","4.3424001379","1.6345545978","0.5677441051","0.1618435601","0.1495450989","0.0024324266","7180.7087859926"
"2025-01-01","","244.8676588746","221.7205350465","116.8736885511","","261.016563417","","3.3285856558","69.1054959363","","","","12.4812156018","","0.6603369719","0.2136845168","0.0742055414","0.0176026981","0.015699281","0.0003262027","930.375598295"
"2025-02-01","","244.2583242616","217.2935800863","120.5406258792","","251.7848504971","","3.3195755007","62.437756748","","","","12.1711008636","","0.5596445695","0.2134397715","0.0740959261","0.0135030448","0.0161608909","0.0002909005","912.6829489398"
"2025-03-01","","245.0086704523","235.0993413082","119.1389266303","","251.7448850566","","3.3325876119","69.122350218","","","","12.481185286","","0.5481218607","0.2137077928","0.0741959189","0.0134828027","0.0170209442","0.0003302848","936.7948061674"
"2025-04-01","0.2744316273","245.0671634242","252.7489113012","120.9174662494","0.0010421855","219.1995185009","0.0823111396","5.8602302853","66.33416946","0.5578113853","0.0929592613","0.0464006582","12.4811956776","0.000030929","0.5470620541","0.2137939907","0.0744262276","0.0203440307","0.0291606825","0.0003205311","924.5487496015"
"2025-05-01","347.3299797901","","","121.2990923434","243.2220861242","-55.0181971295","90.7130400145","12.9615426683","","69.0117762675","69.5246483761","34.5267487053","12.481181676","3.0018303931","0.5488617908","0.21242581","0.0737611462","0.0407577223","0.0184195264","0.0003126005","949.9482678252"
"2025-06-01","268.0647862219","","","118.1762002697","242.8263521398","-62.6414417957","87.6390879406","87.9824499546","","66.8982884375","66.8484520765","33.4123604365","12.481174852","2.8737508708","0.564980695","0.2117758552","0.0735281408","0.0330483451","0.0191024367","0.0003054085","925.4642022855"
"2025-07-01","292.2893828019","","","123.9904150061","241.9647776272","-90.7495122137","90.5221836709","90.9011704802","","69.1383275081","69.1040280877","34.5280435206","12.481192494","2.8600866302","0.5437625502","0.2111870107","0.0733335899","0.0141735159","0.0198910921","0.0003194584","937.8927628304"
"2025-08-01","155.4591649275","","","83.4503679263","165.4762840769","7.0829176874","61.4762158611","61.7673119884","","46.9456172561","46.9084982436","23.4353321058","8.455020308","1.957103871","0.3696296457","0.1445398501","0.0501976142","0.0089314005","0.0140902451","0.0002270401","663.0014500478"
