"Service","S3($)","EC2-Instances($)","Savings Plans for  Compute usage($)","Total costs($)"
"Service total","1402.3291664875","432.8111658044","0","1835.1403322919"
"2025-06-01","219.2093264404","75.2588899962","0","294.4682164366"
"2025-07-01","223.331895722","90.2713128935","0","313.6032086155"
"2025-08-01","222.1376887671","62.5112223207","0","284.6489110878"
"2025-09-01","227.4617370216","94.684764943","0","322.1465019646"
"2025-10-01","245.3320596562","62.909708639","0","308.2417682952"
"2025-11-01","264.8564588802","47.175267012","0","312.0317258922"
