"application","Production-Dataverse($)","Potree($)","Potree-storage($)","Dataverse-Production($)","Dataverse-production($)","Test-Dataverse($)","Potree-computing($)","Test-Dataverse-Rocky9($)","Dataverse-Test($)","potree($)","Production-Processing($)","Dataverse Production  ($)","Dataverse-Test-storage($)","LARIAC($)","LARIAC test($)","LARIAC backup($)","SSDA($)","billing-info($)","test-3d($)","No tag key: application($)","Total costs($)"
"application total","906.1581970453","734.3341581381","728.0142580767","724.0623856717","704.5579743467","268.8367141257","205.5923733791","205.1051369461","204.3574802597","197.8882475159","102.5046581742","74.5770308492","8.7356988231","3.3124335203","1.2763302309","0.4433409495","0.1353094615","0.1197555728","0.0018791838","-1182.2455664771","3887.7677957932"
"2025-02-01","","244.2583242616","","120.5406258792","217.1991937494","","","","3.3195755007","62.4370514848","","12.1711008636","","0.5596445695","0.2134397715","0.0740959261","0.0135030448","0.0161608909","0.0002909005","-70.3882359316","590.414770911"
"2025-03-01","","245.0086704523","","119.1389266303","234.9892665033","","","","3.3325876119","69.119743603","","12.481185286","","0.5481218607","0.2137077928","0.0741959189","0.0134828027","0.0170209442","0.0003302848","-59.794638898","625.1426007929"
"2025-04-01","0.2743933217","245.0671634242","0.0010421855","120.917125543","252.369514094","0.0823110617","0.5578066941","0.0929592497","5.860229927","66.3314524281","0.0464006574","12.4811956776","0.000030929","0.5470620541","0.2137939907","0.0744262276","0.0203440307","0.0291606825","0.0003205311","-69.4910852609","635.4756474488"
"2025-05-01","345.8535554056","","243.2220861242","121.2990923434","","90.5994540849","69.0072253276","69.0907578414","12.9615383444","","34.5239178027","12.481181676","3.0018303931","0.5488617908","0.21242581","0.0737611462","0.0407577223","0.0184195264","0.0003126005","-285.7758291327","717.1593488068"
"2025-06-01","267.8174130176","","242.8263521398","118.1762002697","","87.6362313939","66.8942730554","66.8483273961","87.9824057239","","33.410141168","12.481174852","2.8737508708","0.564980695","0.2117758552","0.0735281408","0.0330483451","0.0191024367","0.0003054085","-343.4607929639","644.3882178046"
"2025-07-01","292.2128353004","","241.9647776272","123.9904150061","","90.5187175852","69.133068302","69.0730924589","90.9011431518","","34.5241985461","12.481192494","2.8600866302","0.5437625502","0.2111870107","0.0733335899","0.0141735159","0.0198910921","0.0003194584","-353.33498429","675.1872100291"
