"application","Potree($)","Dataverse-production($)","No tag key: application($)","Dataverse-Production($)","Production-Dataverse($)","Potree-storage($)","potree($)","Test-Dataverse($)","Potree-computing($)","Test-Dataverse-Rocky9($)","Dataverse-Test($)","Dataverse Production  ($)","Production-Processing($)","Dataverse-Test-storage($)","LARIAC($)","LARIAC test($)","LARIAC backup($)","SSDA($)","billing-info($)","test-3d($)","Total costs($)"
"application total","979.2018170127","926.8623677422","866.0861785464","716.9459999231","615.6691976393","486.0494804495","266.9997723623","178.4344390947","136.4678760903","136.4660597139","116.7849716766","74.577053957","67.9855098","5.8756121929","3.429007942","1.278827737","0.444212901","0.1387386437","0.1155637617","0.0018859281","5579.8145731144"
"2025-01-01","244.8676588746","221.7205350465","261.016563417","116.8736885511","","","69.1054959363","","","","3.3285856558","12.4812156018","","","0.6603369719","0.2136845168","0.0742055414","0.0176026981","0.015699281","0.0003262027","930.375598295"
"2025-02-01","244.2583242616","217.2935800863","251.7848504971","120.5406258792","","","62.437756748","","","","3.3195755007","12.1711008636","","","0.5596445695","0.2134397715","0.0740959261","0.0135030448","0.0161608909","0.0002909005","912.6829489398"
"2025-03-01","245.0086704523","235.0993413082","251.7448850566","119.1389266303","","","69.122350218","","","","3.3325876119","12.481185286","","","0.5481218607","0.2137077928","0.0741959189","0.0134828027","0.0170209442","0.0003302848","936.7948061674"
"2025-04-01","245.0671634242","252.7489113012","219.1995185009","120.9174662494","0.2744316273","0.0010421855","66.33416946","0.0823111396","0.5578113853","0.0929592613","5.8602302853","12.4811956776","0.0464006582","0.000030929","0.5470620541","0.2137939907","0.0744262276","0.0203440307","0.0291606825","0.0003205311","924.5487496015"
"2025-05-01","","","-55.0181971295","121.2990923434","347.3299797901","243.2220861242","","90.7130400145","69.0117762675","69.5246483761","12.9615426683","12.481181676","34.5267487053","3.0018303931","0.5488617908","0.21242581","0.0737611462","0.0407577223","0.0184195264","0.0003126005","949.9482678252"
"2025-06-01","","","-62.6414417957","118.1762002697","268.0647862219","242.8263521398","","87.6390879406","66.8982884375","66.8484520765","87.9824499546","12.481174852","33.4123604365","2.8737508708","0.564980695","0.2117758552","0.0735281408","0.0330483451","0.0191024367","0.0003054085","925.4642022855"
