project_org,project_number,project_name,item_id,title,status,content_type,content_url,repository,assignees,labels,export_date
ucla-data-science-center,4,Data Science Center,PVTI_lADOAcNzk84A1IKnzgk-y70,Phase 1: Dataverse Inventory,In Progress,Issue,https://github.com/ucla-data-science-center/lariac-data-cleanup/issues/1,https://github.com/ucla-data-science-center/lariac-data-cleanup,,,2026-03-09
ucla-data-science-center,4,Data Science Center,PVTI_lADOAcNzk84A1IKnzgkkq2Q,LARIAC files,,Issue,https://github.com/ucla-data-science-center/dataverse-ansible/issues/34,https://github.com/ucla-data-science-center/dataverse-ansible,,,2026-03-09
ucla-data-science-center,4,Data Science Center,PVTI_lADOAcNzk84A1IKnzgkk6xc,Production S3 Bucket Cleanup,In Progress,Issue,https://github.com/ucla-data-science-center/terraform-dataverse/issues/5,https://github.com/ucla-data-science-center/terraform-dataverse,,,2026-03-09
ucla-data-science-center,4,Data Science Center,PVTI_lADOAcNzk84A1IKnzgY-QtE,convert to podman,Done,Issue,https://github.com/ucla-data-science-center/dataverse-ansible/issues/4,https://github.com/ucla-data-science-center/dataverse-ansible,,,2026-03-09
ucla-data-science-center,4,Data Science Center,PVTI_lADOAcNzk84A1IKnzgdCp7o,ensure test scenario installs all core services,In Progress,Issue,https://github.com/ucla-data-science-center/dataverse-ansible/issues/18,https://github.com/ucla-data-science-center/dataverse-ansible,,,2026-03-09
ucla-data-science-center,4,Data Science Center,PVTI_lADOAcNzk84A1IKnzgdCycg,testinfra basic port and service tests,In Progress,Issue,https://github.com/ucla-data-science-center/dataverse-ansible/issues/17,https://github.com/ucla-data-science-center/dataverse-ansible,,,2026-03-09
ucla-data-science-center,4,Data Science Center,PVTI_lADOAcNzk84A1IKnzgdCyc4,generate Ansible inventory from Terraform output,In Progress,Issue,https://github.com/ucla-data-science-center/dataverse-ansible/issues/23,https://github.com/ucla-data-science-center/dataverse-ansible,,,2026-03-09
ucla-data-science-center,4,Data Science Center,PVTI_lADOAcNzk84A1IKnzgY-Qhg,Dataverse branding,Done,Issue,https://github.com/ucla-data-science-center/dataverse-ansible/issues/5,https://github.com/ucla-data-science-center/dataverse-ansible,,,2026-03-09
ucla-data-science-center,4,Data Science Center,PVTI_lADOAcNzk84A1IKnzgY-QU8,license task,Done,Issue,https://github.com/ucla-data-science-center/dataverse-ansible/issues/2,https://github.com/ucla-data-science-center/dataverse-ansible,,,2026-03-09
ucla-data-science-center,4,Data Science Center,PVTI_lADOAcNzk84A1IKnzgY-thY,Confirm language pack fetch and install works,Done,Issue,https://github.com/ucla-data-science-center/dataverse-ansible/issues/6,https://github.com/ucla-data-science-center/dataverse-ansible,,,2026-03-09
ucla-data-science-center,4,Data Science Center,PVTI_lADOAcNzk84A1IKnzgY-jGU,Setting up reverse proxy,Done,Issue,https://github.com/ucla-data-science-center/dataverse-ansible/issues/14,https://github.com/ucla-data-science-center/dataverse-ansible,,,2026-03-09
ucla-data-science-center,4,Data Science Center,PVTI_lADOAcNzk84A1IKnzgY-jIw,Let's Encrypt SSL via Certbot,Done,Issue,https://github.com/ucla-data-science-center/dataverse-ansible/issues/13,https://github.com/ucla-data-science-center/dataverse-ansible,,,2026-03-09
