project_org,project_number,project_name,item_id,title,status,content_type,content_url,repository,assignees,labels,export_date
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgiNuPU,Feat: Build Filterable Lesson Library Page (/lessons),Done,Issue,https://github.com/UC-OSPO-Network/education/issues/22,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgiNuKc,Refactor: Replace Folder.jsx with Folder.astro,Done,Issue,https://github.com/UC-OSPO-Network/education/issues/19,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgiNuN4,"Feat: Implement ""Two Pathways"" Homepage UI",Done,Issue,https://github.com/UC-OSPO-Network/education/issues/21,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgiNuL8,Design: Implement UC Branding (Blue/Gold/White),Done,Issue,https://github.com/UC-OSPO-Network/education/issues/20,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgTIr8o,Work on some resources/lesson(s) around licensing,Todo,Issue,https://github.com/UC-OSPO-Network/education/issues/15,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgjBBnY,DATA: Add subTopic to all 'Keep candidate' lessons,,Issue,https://github.com/UC-OSPO-Network/education/issues/23,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgjBBq0,DATA: Write missing descriptions for lessons,,Issue,https://github.com/UC-OSPO-Network/education/issues/24,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgjBBtg,DATA: Assign learnerCategory to orphaned lessons,In Progress,Issue,https://github.com/UC-OSPO-Network/education/issues/25,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgjBBxY,CONTENT: Find 5-7 'Getting Started' lessons,In Progress,Issue,https://github.com/UC-OSPO-Network/education/issues/26,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgjBB_M,CODE QUALITY: Add error handling and loading states,Done,Issue,https://github.com/UC-OSPO-Network/education/issues/27,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgjBCCE,FEATURE: Create individual lesson detail pages,Done,Issue,https://github.com/UC-OSPO-Network/education/issues/28,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgjBCCI,FEATURE: Implement GitHub Issues-based feedback system,,Issue,https://github.com/UC-OSPO-Network/education/issues/29,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgjBCCM,FEATURE: Design and implement visual pathway roadmaps,,Issue,https://github.com/UC-OSPO-Network/education/issues/30,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgjBCCU,ENHANCEMENT: Improve search with fuzzy matching,Done,Issue,https://github.com/UC-OSPO-Network/education/issues/31,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgjBCCg,TESTING: Conduct WCAG 2.1 AA accessibility audit and fixes,Done,Issue,https://github.com/UC-OSPO-Network/education/issues/32,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgjBCCo,ENHANCEMENT: Add domain-specific and lifecycle status filters,,Issue,https://github.com/UC-OSPO-Network/education/issues/33,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgjBCCw,CODE QUALITY: Add TypeScript types and improve type safety,Done,Issue,https://github.com/UC-OSPO-Network/education/issues/34,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgjBLgk,INFRASTRUCTURE: Integrate education site with main ucospo.net domain,,Issue,https://github.com/UC-OSPO-Network/education/issues/35,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgj6dnk,MIGRATION: Set up Keystatic CMS for content management,Done,Issue,https://github.com/UC-OSPO-Network/education/issues/40,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgj6dn4,MIGRATION: Set up Astro content collections with lesson singletons,Done,Issue,https://github.com/UC-OSPO-Network/education/issues/41,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgj6duU,MIGRATION: Create data migration script (CSV → JSON singletons),Done,Issue,https://github.com/UC-OSPO-Network/education/issues/42,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgj6duk,MIGRATION: Update application code to use content collections,Done,Issue,https://github.com/UC-OSPO-Network/education/issues/43,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgj6dyI,MIGRATION: Configure Keystatic to edit lesson singletons,Done,Issue,https://github.com/UC-OSPO-Network/education/issues/44,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgj6d0Q,CI/CD: Add lesson validation checks to PR workflow,Done,Issue,https://github.com/UC-OSPO-Network/education/issues/45,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgj6d3w,TOOLING: Google Sheets ↔ JSON content collection diff and audit tool,Done,Issue,https://github.com/UC-OSPO-Network/education/issues/46,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgj6d7I,EPIC: Migrate from Google Sheets to Keystatic + Content Collections,Done,Issue,https://github.com/UC-OSPO-Network/education/issues/47,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgj6l5A,MIGRATION: Convert dependencies from numeric IDs to slug-based references,Done,Issue,https://github.com/UC-OSPO-Network/education/issues/48,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgj6mok,DATA: Standardize learningResourceType using controlled vocabulary,,Issue,https://github.com/UC-OSPO-Network/education/issues/49,https://github.com/UC-OSPO-Network/education,,,2026-03-09
UC-OSPO-Network,1,Sloan Project Goals,PVTI_lADOCc8aZM4Ae7YTzgj6mr8,DATA: Standardize audience to canonical personas,Done,Issue,https://github.com/UC-OSPO-Network/education/issues/50,https://github.com/UC-OSPO-Network/education,,,2026-03-09
