id,pid,count
35587,"doi:10.25346/S6/CXO9PD/4DDTQF",17
35589,"doi:10.25346/S6/CXO9PD/LKODJI",17
35590,"doi:10.25346/S6/CXO9PD/8RD7QZ",17
35106,"doi:10.25346/S6/CXO9PD/0YYQYY",17
35051,"doi:10.25346/S6/CXO9PD/BPQLWH",17
35857,"doi:10.25346/S6/CXO9PD/RG2CPV",17
35595,"doi:10.25346/S6/CXO9PD/XDY6FE",17
35602,"doi:10.25346/S6/CXO9PD/BN9CVG",17
35612,"doi:10.25346/S6/CXO9PD/JUH8AX",17
36220,"doi:10.25346/S6/CXO9PD/H4JFOT",17
35394,"doi:10.25346/S6/CXO9PD/L4B3CG",17
34357,"doi:10.25346/S6/CXO9PD/OPUVIA",17
36095,"doi:10.25346/S6/CXO9PD/GKUEOE",17
34781,"doi:10.25346/S6/CXO9PD/LWKXF7",17
35395,"doi:10.25346/S6/CXO9PD/47UAOU",17
36097,"doi:10.25346/S6/CXO9PD/TVKQMW",17
34348,"doi:10.25346/S6/CXO9PD/JLIQHL",17
34786,"doi:10.25346/S6/CXO9PD/TUWB0H",17
34345,"doi:10.25346/S6/CXO9PD/2F6UZG",17
35613,"doi:10.25346/S6/CXO9PD/4TMAW6",17
34327,"doi:10.25346/S6/CXO9PD/VTTIAX",17
34326,"doi:10.25346/S6/CXO9PD/EEDW3G",17
35408,"doi:10.25346/S6/CXO9PD/TSWESB",17
34795,"doi:10.25346/S6/CXO9PD/MZ6DJ0",17
35825,"doi:10.25346/S6/CXO9PD/UCZRP9",17
34797,"doi:10.25346/S6/CXO9PD/DMRCZ7",17
34541,"doi:10.25346/S6/CXO9PD/IKPO0C",17
34320,"doi:10.25346/S6/CXO9PD/MAV9S1",17
36106,"doi:10.25346/S6/CXO9PD/BSRYS9",17
35415,"doi:10.25346/S6/CXO9PD/ECVWD7",17
36023,"doi:10.25346/S6/CXO9PD/JXYDHR",17
34689,"doi:10.25346/S6/CXO9PD/WTY5HU",17
35865,"doi:10.25346/S6/CXO9PD/3J04JZ",17
34808,"doi:10.25346/S6/CXO9PD/1SRBRT",17
36056,"doi:10.25346/S6/CXO9PD/CTJFLM",17
34811,"doi:10.25346/S6/CXO9PD/HZHFA8",17
36113,"doi:10.25346/S6/CXO9PD/CUWIG1",17
36057,"doi:10.25346/S6/CXO9PD/HH1YVT",17
35841,"doi:10.25346/S6/CXO9PD/BMFETH",17
34528,"doi:10.25346/S6/CXO9PD/GZ6JKD",17
34589,"doi:10.25346/S6/CXO9PD/6KLV3R",17
35835,"doi:10.25346/S6/CXO9PD/YCTP18",17
35615,"doi:10.25346/S6/CXO9PD/SWZTVX",17
35749,"doi:10.25346/S6/CXO9PD/YOZYQX",17
34626,"doi:10.25346/S6/CXO9PD/QND7KD",17
35690,"doi:10.25346/S6/CXO9PD/SF79WN",17
34519,"doi:10.25346/S6/CXO9PD/A7J18J",17
36029,"doi:10.25346/S6/CXO9PD/MUCTLA",17
34582,"doi:10.25346/S6/CXO9PD/UNIKIJ",17
36122,"doi:10.25346/S6/CXO9PD/9M8A24",17
34517,"doi:10.25346/S6/CXO9PD/XN9EYG",17
34841,"doi:10.25346/S6/CXO9PD/76MZMM",17
34289,"doi:10.25346/S6/CXO9PD/CWKXZP",17
34287,"doi:10.25346/S6/CXO9PD/SJPD9B",17
34277,"doi:10.25346/S6/CXO9PD/V4DGNO",17
34270,"doi:10.25346/S6/CXO9PD/4FOPWR",17
39888,"doi:10.25346/S6/YO15ON/NGDTB7",17
34848,"doi:10.25346/S6/CXO9PD/F7ULUY",17
34259,"doi:10.25346/S6/CXO9PD/N0FAN6",17
34257,"doi:10.25346/S6/CXO9PD/SGWFPQ",17
36014,"doi:10.25346/S6/CXO9PD/X6LZJ3",17
39883,"doi:10.25346/S6/YO15ON/ACMSXH",17
35618,"doi:10.25346/S6/CXO9PD/FKVYZF",17
34252,"doi:10.25346/S6/CXO9PD/MLHNKA",17
35871,"doi:10.25346/S6/CXO9PD/X13SEJ",17
34576,"doi:10.25346/S6/CXO9PD/SWCZUS",17
34571,"doi:10.25346/S6/CXO9PD/DAPC6F",17
34862,"doi:10.25346/S6/CXO9PD/QAZJOT",17
